"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-01"
"1006","150m²别墅 | 儿童 | 多层","跨楼层成功:2次/周\n玩具避障率:78%","边刷更换:1次/季度\n集尘袋消耗:1个/月","机械臂配件已加装+跨楼层导航优化","2025-03"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:37m²\n沿边清扫无死角","滤网寿命:剩余70天\n尘盒清理:每4天","清洁效率优于75%小户型用户","2025-03"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:0次/天\n避障成功率:92%","主刷磨损:中度\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-03"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:88%\n自动回充成功率:94%","胶刷缠绕:轻微\n滤网更换:剩余25天","养宠家庭中清洁效率处于上等水平","2025-03"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:17%\n边刷寿命:剩余35天","大户型中操作便捷性与同类持平","2025-03"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48m²\n漏扫区域:沙发底部垫高","主刷寿命:剩余45天\nHEPA滤网:剩余25%","优于75%同面积用户（清洁无死角）","2025-04"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失效:1次/周(电线清理)","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率提升至同类平均水平","2025-04"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理效率前10%","2025-04"
"1004","85m² | 2猫 | 混合地面","猫砂洒落处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度\n滤网寿命:剩余60天","清洁效率优于同类养宠家庭20%","2025-04"
"1005","120m² | 老人 | 防滑砖","手动操作占比:85%\n定时清扫使用率:5次/周","电池衰减:28%\n水箱使用率:50%","语音控制功能已安装+操作熟练度提升","2025-04"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷寿命:剩余60天\n集尘袋消耗:0.8个/月","清洁效率优于80%大户型多层用户","2025-04"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:38m²\n沿边清扫无死角","滤网寿命:剩余65天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-04"
